condition,prompt_id,backend,executability,intent_align,script_quality
null,1,qwen4b,100,40,40
null,2,qwen4b,100,40,40
ablation,1,qwen4b,100,45,42
ablation,1,llama8b,100,50,45
ablation,1,deepseek16b,0,30,30
ablation,1,claude,100,45,44
ablation,1,qwenmax,100,48,46
ablation,1,gpt4omini,100,46,43
ablation,2,qwen4b,100,42,41
ablation,2,llama8b,100,55,50
ablation,2,deepseek16b,100,35,35
ablation,2,claude,100,44,42
ablation,2,qwenmax,100,50,48
ablation,2,gpt4omini,100,45,44
full,1,qwen4b,100,70,68
full,1,llama8b,100,72,70
full,1,deepseek16b,100,68,65
full,1,claude,100,80,78
full,1,qwenmax,100,74,70
full,1,gpt4omini,100,69,67
full,2,qwen4b,100,68,65
full,2,llama8b,100,75,72
full,2,deepseek16b,100,70,68
full,2,claude,100,82,80
full,2,qwenmax,100,76,72
full,2,gpt4omini,100,70,68
